name,best_event,best_time,isl_team,age,nationality,gender
Katie Ledecky,800m Freestyle,08:04.8,Cali Condors,28,USA,Female
Ariarne Titmus,400m Freestyle,03:55.4,London Roar,25,Australia,Female
Summer McIntosh,400m Individual Medley,04:25.9,Toronto Titans,18,Canada,Female
Pan Zhanle,100m Freestyle,00:46.4,Energy Standard,20,China,Male
David Popovici,200m Freestyle,01:43.0,Cali Condors,20,Romania,Male
Caeleb Dressel,100m Butterfly,00:49.5,Cali Condors,28,USA,Male
Kristof Milak,200m Butterfly,01:50.3,Iron,26,Hungary,Male
Leon Marchand,400m Individual Medley,04:02.5,LA Current,22,France,Male
Regan Smith,200m Backstroke,02:03.4,DC Trident,23,USA,Female
Kaylee McKeown,100m Backstroke,00:57.3,London Roar,25,Australia,Female
Sarah Sjostrom,50m Freestyle,00:23.6,Energy Standard,32,Sweden,Female
Adam Peaty,100m Breaststroke,00:57.1,London Roar,31,Great Britain,Male
Qin Haiyang,200m Breaststroke,02:05.5,Energy Standard,26,China,Male
Lilly King,100m Breaststroke,01:04.1,Cali Condors,28,USA,Female
Ruta Meilutyte,50m Breaststroke,00:29.2,Energy Standard,29,Lithuania,Female
Ryan Murphy,100m Backstroke,00:51.9,LA Current,30,USA,Male
Emma McKeon,100m Freestyle,00:52.0,London Roar,31,Australia,Female
Bobby Finke,800m Freestyle,07:39.4,Cali Condors,26,USA,Male
Ahmed Hafnaoui,1500m Freestyle,14:31.5,Aqua Centurions,22,Tunisia,Male
Josh Liendo,50m Freestyle,00:21.6,Toronto Titans,22,Canada,Male
Duncan Scott,200m Individual Medley,01:55.9,London Roar,28,Great Britain,Male
Michael Andrew,50m Breaststroke,00:26.5,LA Current,25,USA,Male
Tom Dean,200m Freestyle,01:43.4,London Roar,26,Great Britain,Male
Kristian Gkolomeev,50m Freestyle,00:21.4,Aqua Centurions,31,Greece,Male
Chad le Clos,200m Butterfly,01:53.0,Energy Standard,33,South Africa,Male
Katinka Hosszu,200m Individual Medley,02:06.1,Iron,36,Hungary,Female
Federica Pellegrini,200m Freestyle,01:53.0,Aqua Centurions,37,Italy,Female
Missy Franklin,200m Backstroke,02:04.1,Free Agent,29,USA,Female
Penny Oleksiak,100m Freestyle,00:52.6,Toronto Titans,25,Canada,Female
Yulia Efimova,100m Breaststroke,01:04.8,Iron,34,Russia,Female
Florent Manaudou,50m Freestyle,00:21.3,Energy Standard,35,France,Male
Kyle Chalmers,100m Freestyle,00:47.1,London Roar,27,Australia,Male
Kristian Blume,50m Butterfly,00:22.8,Iron,28,Denmark,Male
Mack Horton,400m Freestyle,03:41.6,London Roar,29,Australia,Male
Siobhan Haughey,200m Freestyle,01:53.9,Energy Standard,27,Hong Kong,Female
Tatjana Schoenmaker,200m Breaststroke,02:18.9,Aqua Centurions,28,South Africa,Female
Mollie O'Callaghan,100m Freestyle,00:52.2,London Roar,21,Australia,Female
Ben Proud,50m Freestyle,00:21.3,Energy Standard,31,Great Britain,Male
Josh Kerr,200m Butterfly,01:55.9,DC Trident,28,Great Britain,Male
Evgeny Rylov,200m Backstroke,01:53.2,Energy Standard,29,Russia,Male
Evgenia Chikunova,200m Breaststroke,02:17.6,Iron,19,Russia,Female
Kayla Sanchez,100m Freestyle,00:53.1,Toronto Titans,23,Canada,Female
Hugo Gonzalez,200m Individual Medley,01:55.5,LA Current,25,Spain,Male
Nicolo Martinenghi,100m Breaststroke,00:58.3,Aqua Centurions,25,Italy,Male
Lucas Matzerath,100m Breaststroke,00:58.1,Energy Standard,25,Germany,Male
Kristel Kobrich,1500m Freestyle,15:44.8,Aqua Centurions,39,Chile,Female
Paltrinieri Gregorio,1500m Freestyle,14:32.8,Aqua Centurions,31,Italy,Male
Zhang Yufei,200m Butterfly,02:05.1,Energy Standard,26,China,Female
Kelsi Dahlia,100m Butterfly,00:55.5,Cali Condors,30,USA,Female
Kristen Nitz,50m Backstroke,00:26.1,DC Trident,24,USA,Female
Michael Phelps,200m Butterfly,01:51.5,Free Agent,40,USA,Male
Ryan Lochte,200m Individual Medley,01:54.0,Free Agent,41,USA,Male
